NAME,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
620,14.3,9.67,basic,basic,basic
621,14.3,9.72,basic,basic,basic
622,14.3,9.72,basic,basic,basic
623,14.3,9.72,basic,basic,basic
624,14.3,9.72,basic,basic,basic
625,14.3,9.39,basic,basic,basic
626,14.3,9.39,basic,basic,basic
627,14.3,9.39,basic,basic,basic
628,14.3,9.39,basic,basic,basic
629,15.31,9.25,basic,basic,basic
630,14.3,9.25,basic,basic,basic
631,14.3,9.25,basic,basic,basic
632,14.3,9.25,basic,basic,basic
633,14.3,9.25,basic,basic,basic
634,14.3,9.25,basic,basic,basic
635,14.3,9.25,basic,basic,basic
636,14.3,9.25,basic,basic,basic
637,14.3,9.25,basic,basic,basic
638,14.3,9.25,basic,basic,basic
639,14.3,9.25,basic,basic,basic
640,13.79,6.77,basic,neutral,neutral
641,11.93,9.15,basic,basic,basic
642,13.9,8.35,basic,basic,basic
643,13.72,8.32,basic,basic,basic
644,14.03,7.66,basic,basic,neutral
645,14.03,8.3,basic,basic,basic
646,13.09,8.21,basic,basic,neutral
647,13.72,6.76,basic,neutral,neutral
648,13.79,6.76,basic,neutral,neutral
649,13.79,6.76,basic,neutral,neutral
650,13.79,9.38,basic,basic,basic
651,13.79,7.14,basic,neutral,neutral
652,13.79,6.76,basic,neutral,neutral
653,14.07,7.45,basic,basic,neutral
654,13.79,9.1,basic,basic,basic
655,13.79,9.26,basic,basic,basic
656,13.89,7.05,basic,neutral,neutral
657,18.09,6.95,basic,neutral,neutral
658,,8.49,basic,basic,basic
659,,8.49,basic,basic,basic
660,18.94,7.39,basic,neutral,neutral
661,,8.49,basic,basic,basic
662,18.94,7.39,basic,neutral,neutral
663,8.07,8.7,basic,basic,basic
664,18.09,6.95,basic,neutral,neutral
665,9.5,8.15,basic,basic,neutral
666,13.41,8.49,basic,basic,basic
667,12.84,8.46,basic,basic,basic
668,12.95,8.46,basic,basic,basic
669,11.61,8.26,basic,basic,neutral
670,12.69,8.43,basic,basic,basic
671,13.41,8.52,basic,basic,basic
672,13.41,8.53,basic,basic,basic
673,13.41,8.58,basic,basic,basic
674,13.39,8.45,basic,basic,basic
675,13.43,8.65,basic,basic,basic
676,13.42,8.6,basic,basic,basic
677,13.46,8.21,basic,basic,neutral
678,13.46,8.21,basic,basic,neutral
679,13.46,8.21,basic,basic,neutral
680,9.54,8.64,basic,basic,basic
681,8.35,8.29,basic,basic,neutral
682,8.18,9.78,basic,basic,basic
683,13.69,4.73,neutral,neutral,neutral
684,14.92,4.94,neutral,neutral,neutral
685,13.8,9.97,basic,basic,basic
686,3.88,10.09,zwiterionic,zwiterionic,zwiterionic
687,13.69,9.61,basic,basic,basic
688,13.56,9.15,basic,basic,basic
689,13.57,9.28,basic,basic,basic
690,13.69,9.64,basic,basic,basic
691,13.69,9.64,basic,basic,basic
692,3.89,9.71,zwiterionic,zwiterionic,zwiterionic
693,3.88,10.09,zwiterionic,zwiterionic,zwiterionic
694,9.64,10.44,basic,basic,basic
695,13.8,10.0,basic,basic,basic
696,13.78,9.93,basic,basic,basic
697,13.67,9.6,basic,basic,basic
698,13.75,9.84,basic,basic,basic
699,18.5,9.08,basic,basic,basic
